No Of Ratios, Avg Ratio, TTC
Detector,SHITOMASI,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
Frame #, No Of Ratios, Avg Ratio, TTC
1,1081, 1.02638, 3.79127
2,1225, 1.01799, 5.55989
3,1953, 1.01154, 8.66909
4,1653, 1.01317, 7.59121
5,1325, 1.00279, 35.7972
6,2144, 1.03106, 3.21937
7,2346, 1.00512, 19.5216
8,1891, 1.00307, 32.5291
9,1653, 1.0389, 2.57091
10,1711, 1.0123, 8.13095
11,1176, 1.03019, 3.31286
12,1378, 1.00326, 30.6629
13,1431, 14.2233, 0.0075624
14,1653, 1.01595, 6.26812
15,1080, 1.03746, 2.66986
16,1890, 1.01215, 8.2302
17,1710, 1.03938, 2.53927
18,1829, 77.9308, 0.00129987
Detector,ORB,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,1275, 0.980012, -5.00308
2,1431, 0.994953, -19.8156
3,2415, 0.992293, -12.9748
4,1830, 0.993807, -16.148
5,1710, 0.985029, -6.67954
6,2700, 0.987608, -8.06963
7,3003, 0.99104, -11.1606
8,2555, 0.996756, -30.8224
9,2346, 0.990568, -10.6026
10,2145, 0.98654, -7.4293
11,1378, 1.00084, 119.756
12,1953, 0.979959, -4.98985
13,1653, 0.996387, -27.6762
14,2346, 0.991278, -11.4647
15,1539, 0.99995, -2013.65
16,2414, 0.998682, -75.8941
17,2555, 0.989485, -9.51041
18,1769, 0.983406, -6.02618
Detector,ORB,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,1225, 1.02146, 4.66076
2,1326, 1.02969, 3.36855
3,1891, 1.0185, 5.40636
4,1378, 1.01484, 6.73667
5,1224, 1.0089, 11.2302
6,2144, 1.04911, 2.0361
7,2016, 1.00465, 21.4853
8,2210, 1.02225, 4.49471
9,1770, 1.00329, 30.371
10,1326, 1.02646, 3.77936
11,1326, 1.0137, 7.29984
12,1540, 1.0052, 19.2129
13,1596, 12.873, 0.0084225
14,2145, 1.02843, 3.51761
15,1274, 1.03877, 2.57919
16,1952, 1.0104, 9.61507
17,2079, 1.01063, 9.40351
18,1539, 1.01562, 6.40398
Detector,AKAZE,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,4950, 1.00581, 17.2164
2,5778, 1.00634, 15.7747
3,7021, 1.00659, 15.1844
4,6328, 1.00573, 17.4478
5,5460, 1.00656, 15.2418
6,5356, 1.00538, 18.5866
7,7381, 1.0063, 15.8637
8,7503, 1.00729, 13.7207
9,7140, 1.00686, 14.5721
10,8001, 1.00769, 13.005
11,6555, 1.00739, 13.5365
12,8385, 1.0075, 13.3282
13,7260, 1.00895, 11.1728
14,6670, 1.00775, 12.9047
15,7021, 1.0084, 11.9038
16,7140, 1.00919, 10.88
17,7021, 1.01005, 9.94932
18,6555, 1.01115, 8.96721
Detector,AKAZE,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,5886, 1.00593, 16.861
2,7021, 1.00357, 28.0265
3,8128, 1.00746, 13.4113
4,7260, 1.00513, 19.4968
5,7260, 1.00453, 22.0542
6,7260, 1.00724, 13.8057
7,9045, 1.00502, 19.9015
8,9316, 1.00473, 21.1333
9,8256, 1.00626, 15.9619
10,9453, 1.00685, 14.595
11,9591, 1.00641, 15.5958
12,9453, 1.00446, 22.4375
13,8515, 1.00774, 12.9166
14,8515, 1.00714, 14.008
15,8646, 1.00914, 10.9455
16,9316, 1.00718, 13.9285
17,8778, 1.00843, 11.8691
18,8256, 1.00961, 10.4097
Detector,AKAZE,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,5671, 1.00487, 20.5418
2,6216, 1.00556, 17.9896
3,7626, 1.00608, 16.4404
4,6328, 1.00513, 19.5072
5,5778, 1.00445, 22.4472
6,5995, 1.00488, 20.5116
7,8128, 1.00558, 17.9052
8,7750, 1.00677, 14.7722
9,7503, 1.00546, 18.3062
10,9045, 1.00937, 10.6778
11,6903, 1.00673, 14.8559
12,8001, 1.00727, 13.7484
13,7626, 1.00742, 13.4759
14,7750, 1.00794, 12.5879
15,7381, 1.00762, 13.1174
16,8001, 1.01002, 9.97726
17,7503, 1.00889, 11.2483
18,7021, 1.01174, 8.52149
Detector,AKAZE,Descriptor,AKAZE
Frame #, No Of Ratios, Avg Ratio, TTC
1,5565, 1.00438, 22.8082
2,5995, 1.00459, 21.7763
3,7381, 1.00944, 10.5939
4,6441, 1.00394, 25.3975
5,5778, 1.00035, 285.405
6,5995, 1.00911, 10.9813
7,8385, 1.01039, 9.62291
8,8256, 1.00613, 16.3116
9,7626, 1.00553, 18.0846
10,8778, 1.00701, 14.2655
11,7140, 1.00714, 14.0104
12,8001, 1.00875, 11.4234
13,7626, 1.00952, 10.5056
14,7875, 1.0094, 10.6334
15,7021, 1.0089, 11.2321
16,8256, 1.00987, 10.1287
17,7260, 1.00935, 10.698
18,7503, 1.01253, 7.98225
Detector,SIFT,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,4259, 1.00733, 13.6488
2,3642, 1.0071, 14.0872
3,5756, 1.0073, 13.6994
4,4831, 1.00185, 54.1178
5,4355, 1.00689, 14.5067
6,4839, 1.0077, 12.9907
7,6423, 1.00791, 12.6448
8,6428, 1.00932, 10.7268
9,6419, 1.00774, 12.9169
10,4352, 1.01486, 6.728
11,4170, 1.00939, 10.6493
12,4931, 1.00971, 10.2999
13,5130, 1.01135, 8.80983
14,5024, 1.0114, 8.77212
15,4737, 1.01166, 8.57535
16,5230, 1.01192, 8.38829
17,3388, 1.01157, 8.63975
18,4254, 1.01125, 8.88622
Detector,SIFT,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,5651, 1.00621, 16.097
2,6421, 1.00615, 16.2707
3,8106, 1.00436, 22.9103
4,7234, 1.00435, 22.9999
5,6536, 1.01147, 8.7206
6,7005, 1.00582, 17.168
7,9569, 1.00894, 11.1824
8,9438, 1.0057, 17.5538
9,9291, 1.00365, 27.391
10,7113, 1.00564, 17.7323
11,5978, 1.0078, 12.826
12,8105, 1.01069, 9.35046
13,6998, 1.00988, 10.119
14,6188, 1.01299, 7.69528
15,6764, 1.01142, 8.7602
16,6879, 1.01226, 8.15355
17,4640, 1.01311, 7.62599
18,6079, 1.01093, 9.15281
